0.11515,1.5813,0.62853,-3.1255,0.8644,0.56255,-4.7037,0.76546,-0.43798,1,0.80504,0.97626,0,1
-0.42194,2.4884,1.0765,-2.0988,0.094203,1.9047,-6.1866,0.27339,-1.7818,1,1.6711,-1.0469,0,1
-0.42717,-1.7923,-0.14593,-2.2597,-0.85191,0.93124,-5.9519,-0.62797,-0.87764,1,-1.0113,0.82941,0,1
-0.59605,6.9763,1.3009,-2.7802,0.8735,1.9169,-6.1579,1.063,-1.6214,1,-6.9473,-0.8786,0,1
0.11288,-1.5581,-0.077754,-2.2137,-0.43804,0.50409,-5.1296,-0.34502,-0.5293,1,-0.99974,1.3501,0,1
0.76015,-2.7623,-0.32095,2.9929,-0.42966,-0.29407,4.5769,-0.47708,0.3397,1,1.0981,-0.8678,1,1
-1.5156,-4.2886,0.059695,-1.7819,-1.1027,1.1491,-6.2522,-0.84485,-1.2786,1,1.2739,1.2174,0,0
0.32968,2.62,0.17511,-3.5557,0.39625,-0.36214,-4.7617,0.50348,0.42743,0,0.48212,-1.1846,0,1
0.22908,-2.9361,-0.064957,3.0289,-0.96493,0.70391,5.2928,-0.76141,-0.74166,0,-0.93702,1.4297,1,0
0.43575,2.9047,0.37114,3.9259,0.16845,0.60012,5.0356,0.34888,-0.54697,1,1.6652,0.80116,1,1
1.3073,-8.2759,-0.96695,-1.2232,-1.9654,0.087668,-5.3836,-1.7856,-0.38464,1,0.41445,-0.092137,0,1
0.73415,-3.4762,-0.23815,3.3196,-0.7443,-0.29395,4.4565,-0.61548,0.22081,1,0.7167,-0.11892,1,1
0.27473,-1.5178,-0.4393,3.3166,-0.55231,-0.63729,4.6298,-0.55214,0.39283,1,-0.86996,-0.9612,1,1
-0.87117,-3.2161,0.093394,3.2177,-0.81973,1.1145,4.8706,-0.58657,-1.2085,1,1.5472,0.13852,1,1
-0.27599,6.7159,1.0875,-3.5206,1.1091,0.64601,-5.2439,0.84099,-0.61796,1,-3.5074,1.1547,0,1
-0.31449,-2.0597,0.1874,-2.1805,-0.61495,1.1078,-6.5727,-0.43321,-1.2672,1,1.0331,0.58605,0,1
